Month,Year,DF_market,DF_corrected,DF_uncorrected,err_corr_bp,err_uncorr_bp
325,27.0833,0.36820707,0.36820707,0.45166316,-0.000000,+834.560888
326,27.1667,0.36720805,0.36720805,0.45132635,+0.000000,+841.183018
327,27.2500,0.36621254,0.36621254,0.45099895,+0.000000,+847.864081
328,27.3333,0.36522054,0.36522054,0.45068234,+0.000000,+854.617993
329,27.4167,0.36423201,0.36423201,0.45037674,+0.000000,+861.447219
330,27.5000,0.36324696,0.36324696,0.45008433,+0.000000,+868.373624
331,27.5833,0.36226537,0.36226537,0.44980219,-0.000000,+875.368161
332,27.6667,0.36128722,0.36128722,0.44952668,+0.000000,+882.394514
333,27.7500,0.36031251,0.36031251,0.44926159,-0.000000,+889.490785
334,27.8333,0.35934121,0.35934121,0.44900935,-0.000000,+896.681428
335,27.9167,0.35837331,0.35837331,0.44876670,+0.000000,+903.933861
336,28.0000,0.35740881,0.35740881,0.44853047,+0.000000,+911.216590
337,28.0833,0.35644768,0.35644768,0.44830029,+0.000000,+918.526070
338,28.1667,0.35548992,0.35548992,0.44807646,+0.000000,+925.865466
339,28.2500,0.35453550,0.35453550,0.44786197,-0.000000,+933.264638
340,28.3333,0.35358443,0.35358443,0.44765397,+0.000000,+940.695485
341,28.4167,0.35263667,0.35263667,0.44745254,+0.000000,+948.158693
342,28.5000,0.35169223,0.35169223,0.44725990,+0.000000,+955.676713
343,28.5833,0.35075109,0.35075109,0.44707345,+0.000000,+963.223603
344,28.6667,0.34981323,0.34981323,0.44688988,-0.000000,+970.766498
345,28.7500,0.34887865,0.34887865,0.44670782,+0.000000,+978.291675
346,28.8333,0.34794733,0.34794733,0.44652899,-0.000000,+985.816608
347,28.9167,0.34701925,0.34701925,0.44635520,+0.000000,+993.359482
348,29.0000,0.34609440,0.34609440,0.44618561,+0.000000,+1000.912115
349,29.0833,0.34517278,0.34517278,0.44602075,+0.000000,+1008.479703
350,29.1667,0.34425437,0.34425437,0.44586263,+0.000000,+1016.082636
351,29.2500,0.34333915,0.34333915,0.44571105,+0.000000,+1023.719018
352,29.3333,0.34242712,0.34242712,0.44556534,+0.000000,+1031.382228
353,29.4167,0.34151825,0.34151825,0.44542583,+0.000000,+1039.075785
354,29.5000,0.34061255,0.34061255,0.44529182,+0.000000,+1046.792706
355,29.5833,0.33970999,0.33970999,0.44516457,+0.000000,+1054.545809
356,29.6667,0.33881057,0.33881057,0.44504643,+0.000000,+1062.358635
357,29.7500,0.33791427,0.33791427,0.44493630,+0.000000,+1070.220346
358,29.8333,0.33702108,0.33702108,0.44483143,+0.000000,+1078.103547
359,29.9167,0.33613099,0.33613099,0.44472971,+0.000000,+1085.987292
360,30.0000,0.33524398,0.33524398,0.44463281,+0.000000,+1093.888307
